----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
1  	68    	519.41	397	646
2  	74    	494.09	375	618
3  	74    	476.82	364	604
4  	69    	468.46	364	628
5  	61    	445.39	364	573
6  	70    	428.92	364	574
7  	68    	415.14	357	582
8  	63    	416.96	336	612
9  	82    	400.61	311	532
10 	69    	389.4 	311	554
11 	73    	377.85	311	549
12 	66    	364.08	311	560
13 	73    	345.71	311	559
14 	70    	332.36	311	556
15 	76    	329.68	311	609
16 	67    	334.16	311	565
17 	69    	332.76	311	581
18 	65    	333.46	311	516
19 	64    	326.54	311	509
20 	66    	329.25	311	528
21 	71    	328.78	311	551
22 	65    	326.61	311	515
23 	80    	328.06	311	471
24 	69    	329.31	311	509
25 	74    	332.99	311	509
26 	76    	328.47	311	538
27 	85    	329.42	311	567
28 	60    	326.21	311	540
29 	62    	326.08	311	524
30 	77    	318.74	311	468
31 	69    	331.43	311	509
32 	85    	330.48	311	521
33 	73    	324.94	311	471
34 	74    	331.06	311	585
35 	72    	336.24	311	546
36 	73    	324.11	311	480
37 	68    	331.99	311	548
38 	69    	324.34	311	518
39 	71    	326.93	311	519
40 	64    	319.53	311	495
41 	66    	327.23	311	509
42 	69    	329.13	311	567
43 	72    	325.54	311	489
44 	73    	331.13	311	600
45 	69    	326.82	311	538
46 	70    	321.49	311	502
47 	66    	326.86	311	509
48 	71    	317.63	311	473
49 	63    	326.97	311	548
50 	67    	331.8 	311	584
51 	65    	329.12	311	502
52 	61    	325.83	311	508
53 	66    	330.48	311	524
54 	70    	326.94	311	553
55 	69    	324.81	311	505
56 	68    	328.34	311	558
57 	73    	329.82	311	547
58 	65    	322.68	311	480
59 	62    	327.61	311	522
60 	76    	330.9 	311	564
61 	73    	326.11	311	514
62 	82    	328.87	311	538
63 	69    	334.14	311	522
64 	68    	326.73	311	541
65 	71    	324.95	311	564
66 	71    	326.34	311	508
67 	74    	326.2 	311	471
68 	60    	330.92	311	578
69 	67    	327.24	311	518
70 	65    	332.19	311	570
71 	69    	337.48	311	580
72 	76    	326.11	311	502
73 	71    	328.39	311	659
74 	72    	319.14	311	473
75 	65    	334.65	311	513
76 	62    	328.05	311	495
77 	72    	326.09	311	551
78 	65    	331.27	311	541
79 	61    	322.25	311	521
80 	79    	327.81	311	509
81 	75    	327.68	311	585
82 	77    	320.55	311	480
83 	72    	325.98	311	568
84 	71    	332.14	311	551
85 	62    	328.23	311	593
86 	81    	321.21	311	495
87 	67    	335.44	311	612
88 	74    	324.71	311	503
89 	78    	326.1 	311	543
90 	76    	328.7 	311	538
91 	69    	321.26	311	512
92 	69    	327.58	311	495
93 	65    	323.38	311	556
94 	71    	326.2 	311	547
95 	69    	328.42	311	509
96 	62    	316.86	311	459
97 	69    	325.04	311	530
98 	60    	330.37	311	502
99 	75    	328.45	311	524
100	70    	325.34	311	546
-------------------- 10 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	547.35	428	693
1  	79    	504.23	424	643
2  	71    	468.96	405	613
3  	73    	451.7 	380	603
4  	66    	439.81	356	576
5  	70    	433.45	356	586
6  	71    	425.15	355	549
7  	76    	410.47	350	570
8  	73    	401.12	350	528
9  	76    	393.26	350	565
10 	78    	388.87	350	575
11 	74    	379.68	350	574
12 	81    	371.98	312	487
13 	65    	370.45	312	550
14 	72    	372.08	312	513
15 	67    	368.15	312	543
16 	80    	362.95	312	540
17 	65    	340.16	312	496
18 	82    	331.83	312	506
19 	72    	327.41	312	557
20 	60    	326.65	312	516
21 	69    	324.97	312	521
22 	63    	323.46	312	510
23 	64    	321.26	312	436
24 	77    	325.5 	312	510
25 	68    	329.26	312	578
26 	79    	326.53	312	510
27 	72    	328.83	312	613
28 	69    	333.3 	312	636
29 	68    	330.4 	312	565
30 	67    	325.64	312	503
31 	68    	326.34	312	505
32 	68    	320.93	312	500
33 	68    	322.99	312	507
34 	73    	327.93	312	599
35 	67    	321.6 	312	501
36 	70    	331.75	312	573
37 	66    	325.25	312	510
38 	76    	325.4 	312	529
39 	68    	326.9 	312	546
40 	72    	334.08	312	510
41 	69    	328.4 	312	543
42 	72    	331.89	312	503
43 	88    	325.6 	312	537
44 	67    	326.89	312	496
45 	74    	324.78	312	496
