----------- single_objective_10Cent_50 -----------
-------------------- 1 ---------------------
log: gen	nevals	mean  	min	max
28 	91    	341.04	312	585
29 	88    	338.61	312	503
30 	94    	336.81	312	590
31 	93    	341.79	312	575
32 	93    	336.64	312	555
33 	90    	346.67	312	578
34 	84    	346.65	312	581
35 	90    	343.47	312	527
36 	95    	349.06	312	581
37 	93    	344.4 	312	545
38 	91    	338.44	312	556
39 	89    	340.82	312	630
40 	93    	344.05	312	552
41 	95    	347.54	312	583
42 	86    	337.64	312	531
43 	87    	337.54	312	510
44 	89    	342.68	312	510
45 	88    	339.34	312	561
46 	87    	337.2 	312	499
47 	94    	339.12	312	598
48 	98    	342.77	312	570
49 	90    	346.16	312	552
50 	87    	342.47	312	564
51 	84    	342.71	312	576
52 	96    	339.02	312	637
53 	89    	342.38	312	522
54 	95    	351.58	312	563
55 	89    	343.58	312	516
56 	90    	343.67	312	568
57 	89    	341.11	312	634
58 	96    	343.9 	312	555
59 	91    	338.17	312	481
60 	94    	344.16	312	585
61 	93    	342.58	312	554
62 	90    	340.17	312	536
63 	89    	341.79	312	525
64 	91    	340.63	312	531
65 	92    	333.88	312	481
66 	95    	340.96	312	510
67 	90    	335.34	312	561
68 	94    	337.08	312	535
69 	91    	336.02	312	503
70 	87    	343.74	312	535
71 	93    	342.71	312	585
72 	89    	339   	312	503
73 	91    	340.25	312	577
74 	92    	345.78	312	522
75 	92    	353.28	312	561
76 	90    	333.14	312	563
77 	89    	337.42	312	490
78 	89    	342.53	312	583
79 	94    	343.04	312	509
80 	77    	339.68	312	526
81 	91    	333.81	312	510
82 	91    	338.91	312	519
83 	92    	354.32	312	541
84 	85    	326.05	312	583
85 	91    	334.92	312	516
86 	92    	339.13	312	615
87 	87    	339.08	312	578
88 	93    	345.47	312	523
89 	95    	345.29	312	536
90 	88    	336.98	312	497
91 	93    	335.94	312	568
92 	89    	342.65	312	536
93 	89    	344.04	312	510
94 	92    	337.56	312	542
95 	91    	346.03	312	585
96 	91    	340.74	312	546
97 	92    	340.95	312	527
98 	93    	354.23	312	510
99 	92    	343.16	312	542
100	89    	340.07	312	636
-------------------- 10 ---------------------
log: gen	nevals	mean  	min	max
0  	100   	544.13	415	625
1  	95    	514.73	412	615
2  	94    	489.1 	412	624
3  	96    	475.2 	373	620
4  	88    	457.51	373	576
5  	95    	460.54	377	599
6  	88    	451.81	357	636
7  	97    	433.9 	352	570
8  	95    	425.79	352	573
9  	84    	407.87	352	539
10 	92    	415.69	352	630
11 	82    	402.37	324	591
12 	90    	405.38	324	580
13 	93    	403.68	324	560
14 	85    	387.67	324	543
15 	88    	380.86	324	591
16 	89    	363.93	324	565
17 	88    	351.19	324	565
18 	90    	350.89	324	520
19 	93    	356.52	324	561
20 	92    	359.48	324	563
21 	88    	358.43	324	517
22 	89    	351.29	324	496
23 	93    	340.28	324	483
24 	90    	348.98	324	545
25 	83    	339.76	324	520
26 	93    	355.12	324	594
27 	86    	355.21	324	627
28 	91    	347.78	324	588
29 	94    	350.97	324	661
30 	89    	349.3 	324	520
31 	93    	353.27	324	526
32 	92    	344.87	324	514
33 	94    	353.42	324	610
34 	90    	355.4 	324	587
35 	93    	359.19	324	545
36 	90    	347.83	324	558
37 	96    	361.35	324	504
38 	91    	356.39	324	501
39 	89    	349.5 	324	496
40 	88    	353.56	324	508
41 	97    	352.01	324	575
42 	93    	350.47	324	538
43 	96    	349.73	324	606
44 	88    	354.19	324	526
45 	95    	360.25	324	526
46 	92    	354.79	324	550
47 	91    	359.67	324	598
